id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Canyon Sun,Mesa Kings,country,nostalgic,0.58,96,0.63,0.52,0.74
12,Bassline Fever,Night Circuit,edm,party,0.94,128,0.72,0.92,0.06
13,Ink & Concrete,Street Verse,hip hop,confident,0.68,92,0.55,0.80,0.14
14,Snowglobe Waltz,Aria North,classical,serene,0.22,66,0.46,0.18,0.98
15,Sunset Skank,Island Atlas,reggae,carefree,0.62,84,0.79,0.77,0.33
16,Blackened Halo,Iron Cathedral,metal,angry,0.96,170,0.29,0.50,0.03
17,Velvet Letters,Luna Maris,r&b,romantic,0.49,74,0.67,0.76,0.41
18,Desert Mirage,Azul Camino,latin,fiery,0.86,105,0.73,0.90,0.20
19,Fog Signal,Harbor Static,post-rock,atmospheric,0.55,118,0.38,0.44,0.57
20,Pixel Daydream,Pastel Pilot,chiptune,playful,0.73,140,0.78,0.83,0.12
